"Event ID","Event Identity","Custom Event ID","Number Of Rowers","Sculling Status","Coxed Status","Event Gender","Event Type","Minimum Age","Maximum Age","Crew Status","Sub Category","Event Info","Lightweight Status","Notes",
"498269","MasA.NOV.8+","","9","N","Y","Open","Master","27","","Novice","A","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter MasA.8+. ",
"498270","MasC.NOV.8+","","27","N","Y","Open","Master","43","","Novice","C","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter MasC.8+. ",
"498271","MasE.NOV.8+","","9","N","Y","Open","Master","55","","Novice","E","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter MasE.8+. ",
"498272","Mx.MasB.NOV.8+","","0","N","Y","Mixed","Master","36","","Novice","B","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter Mx,MasB.8+. ",
"498273","Mx.MasD.NOV.8+","","0","N","Y","Mixed","Master","50","","Novice","D","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter Mx,MasD.8+. ",
"498274","W.MasA.NOV.8+","","18","N","Y","Female","Master","27","","Novice","A","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter W,MasA.8+. ",
"498275","W.MasC.NOV.8+","","36","N","Y","Female","Master","43","","Novice","C","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.    Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter W,MasC.8+.  ",
"498276","W.MasE.NOV.8+","","27","N","Y","Female","Master","55","","Novice","E","","N","We need at least 3 entrants for a category to be viable. If we cannot attract 3 entrants, we will contact the entries secretary to discuss options.     Please be aware that this category is for novices - if your crew is not novice (especially if you have foreign entrants), please enter W,MasE.8+. ",
"498277","MasA.NOV.8x+","","0","Y","Y","Open","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498278","Mx.MasA.NOV.8x+","","0","Y","Y","Mixed","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498279","W.MasA.NOV.8x+","","0","Y","Y","Female","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498280","MasA.NOV.8x+","","0","Y","Y","Open","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498281","Mx.MasA.NOV.8x+","","0","Y","Y","Mixed","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498282","W.MasA.NOV.8x+","","0","Y","Y","Female","Master","27","","Novice","A","","N","These novice octuple events are aimed at *complete* novices, reasonably experienced novices should enter eights. It is not anticipated that we will award any prizes whatsoever for the novice octuple categories. ",
"498283","IM2.8+","","9","N","Y","Open","Senior","","","Intermediate 2","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498284","IM3.8+","","27","N","Y","Open","Senior","","","Intermediate 3","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498285","NOV.8+","","0","N","Y","Open","Senior","","","Novice","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498286","Mx.IM2.8+","","0","N","Y","Mixed","Senior","","","Intermediate 2","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498287","Mx.IM3.8+","","0","N","Y","Mixed","Senior","","","Intermediate 3","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498288","Mx.NOV.8+","","0","N","Y","Mixed","Senior","","","Novice","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498289","W.IM2.8+","","0","N","Y","Female","Senior","","","Intermediate 2","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498290","W.IM3.8+","","18","N","Y","Female","Senior","","","Intermediate 3","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
"498291","W.NOV.8+","","0","N","Y","Female","Senior","","","Novice","-","","N","We have space for a maximum of 250 crews in the event.  This year we expect to have an entry below that so we have decided to open categories up to non-masters crews to fill the remaining spaces.  This is primarily aimed at offering those crews not able to secure an entry into the HORR with an opportunity to compete that weekend.  This is and will always remain a Masters event so any Masters crew entering this event will take priority over any Open entry.  Open, Women s and Mixed categories will",
